index,connection,timestamps,sizes,directions,file_name
63,"('10.184.62.19', 61299, '35.186.224.24', 443, 'TCP')","1727357863.191948,1727357863.196655,1727357863.196996,1727357863.196996,1727357863.196996,1727357863.196996,1727357863.205352,1727357863.205835,1727357863.211872,1727357869.951213,1727357869.951452,1727357869.951502,1727357869.951502,1727357869.951661,1727357869.952738,1727357869.952973,1727357869.953756,1727357869.953778,1727357870.010391,1727357870.074674,1727357870.075085,1727357870.082262,1727357870.082367,1727357870.082367,1727357870.082390,1727357870.082404,1727357870.082600,1727357870.083600,1727357870.086632,1727357870.214215,1727357870.214415,1727357870.217718,1727357870.277763,1727357870.278062,1727357870.291621,1727357870.292294,1727357870.293495,1727357870.293628,1727357870.471412,1727357870.471609,1727357870.707399,1727357870.708433,1727357870.708628,1727357870.708808,1727357870.710798,1727357870.711267,1727357870.713380,1727357870.713800,1727357870.714637,1727357870.715946,1727357870.717173,1727357870.717883,1727357870.718961,1727357870.720328,1727357870.720398,1727357870.721342,1727357870.722555,1727357870.722644,1727357870.967475,1727357870.967475,1727357871.099154,1727357871.100238,1727357871.100238,1727357871.239006,1727357871.239132,1727357874.718054,1727357874.833769,1727357874.835637,1727357874.970751,1727357874.970928,1727357874.970944,1727357877.267418,1727357877.273439","[66, 54, 590, 590, 590, 211, 54, 118, 54, 146, 85, 590, 295, 338, 336, 366, 417, 338, 54, 54, 93, 93, 590, 497, 415, 364, 336, 415, 336, 54, 93, 54, 54, 93, 54, 54, 54, 93, 54, 93, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 93, 590, 544, 93, 590, 542, 54, 93, 349, 93, 347, 54, 89, 93, 54, 54]","[0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1]",streaming_spotify.pcap
64,"('10.184.62.19', 54641, '10.10.1.5', 53, 'UDP')",1727357863.192157,[83],[0],streaming_spotify.pcap
65,"('10.184.62.19', 50458, '10.10.1.5', 53, 'UDP')",1727357863.192233,[83],[0],streaming_spotify.pcap
66,"('10.10.1.5', 53, '10.184.62.19', 61415, 'UDP')",1727357863.195568,[124],[1],streaming_spotify.pcap
67,"('10.10.1.5', 53, '10.184.62.19', 51620, 'UDP')",1727357863.195568,[75],[1],streaming_spotify.pcap
68,"('10.10.1.5', 53, '10.184.62.19', 56303, 'UDP')",1727357863.195568,[97],[1],streaming_spotify.pcap
69,"('10.10.1.5', 53, '10.184.62.19', 54886, 'UDP')",1727357863.195966,[81],[1],streaming_spotify.pcap
70,"('35.186.224.24', 443, '10.184.62.19', 61299, 'TCP')","1727357863.196616,1727357863.201615,1727357863.201615,1727357863.205272,1727357863.205272,1727357863.205272,1727357863.205272,1727357863.205272,1727357863.205272,1727357863.205272,1727357863.211809,1727357863.211809,1727357869.958759,1727357869.958759,1727357869.958759,1727357869.958759,1727357869.958759,1727357870.074582,1727357870.074582,1727357870.074582,1727357870.074582,1727357870.081678,1727357870.084451,1727357870.086616,1727357870.086616,1727357870.088399,1727357870.096055,1727357870.213984,1727357870.214194,1727357870.214194,1727357870.217066,1727357870.217659,1727357870.223140,1727357870.277735,1727357870.277735,1727357870.277735,1727357870.277735,1727357870.288395,1727357870.291607,1727357870.291607,1727357870.292281,1727357870.292281,1727357870.293462,1727357870.293462,1727357870.303723,1727357870.471267,1727357870.471267,1727357870.471267,1727357870.476402,1727357870.705906,1727357870.707366,1727357870.707366,1727357870.707366,1727357870.707366,1727357870.707366,1727357870.707366,1727357870.708380,1727357870.708380,1727357870.708380,1727357870.708622,1727357870.708622,1727357870.708622,1727357870.708801,1727357870.708801,1727357870.708801,1727357870.708801,1727357870.708801,1727357870.708801,1727357870.710775,1727357870.710775,1727357870.710775,1727357870.710775,1727357870.710775,1727357870.710775,1727357870.711249,1727357870.711249,1727357870.711249,1727357870.711249,1727357870.711249,1727357870.713355,1727357870.713355,1727357870.713355,1727357870.713355,1727357870.713355,1727357870.713355,1727357870.713355,1727357870.713783,1727357870.713783,1727357870.713783,1727357870.713783,1727357870.713783,1727357870.713783,1727357870.714623,1727357870.714623,1727357870.714623,1727357870.715933,1727357870.715933,1727357870.715933,1727357870.715933,1727357870.715933,1727357870.715933,1727357870.715933,1727357870.715933,1727357870.715933,1727357870.717156,1727357870.717156,1727357870.717156,1727357870.717156,1727357870.717156,1727357870.717156,1727357870.717857,1727357870.717857,1727357870.717857,1727357870.717857,1727357870.717857,1727357870.718939,1727357870.718939,1727357870.718939,1727357870.718939,1727357870.718939,1727357870.718939,1727357870.718939,1727357870.720310,1727357870.720310,1727357870.720310,1727357870.720310,1727357870.720389,1727357870.720389,1727357870.720389,1727357870.720389,1727357870.720389,1727357870.721325,1727357870.721325,1727357870.721325,1727357870.721325,1727357870.721325,1727357870.722528,1727357870.722528,1727357870.722528,1727357870.728519,1727357870.973135,1727357870.973135,1727357871.098854,1727357871.104492,1727357871.105427,1727357871.105427,1727357871.238632,1727357871.238955,1727357871.238955,1727357871.238955,1727357871.243895,1727357874.723266,1727357874.833347,1727357874.839375,1727357874.839912,1727357874.966360,1727357874.970706,1727357874.970706,1727357874.975863,1727357874.976490,1727357877.273372","[66, 54, 54, 590, 590, 590, 494, 590, 590, 391, 590, 136, 85, 54, 54, 54, 54, 569, 121, 121, 121, 138, 121, 54, 54, 54, 54, 532, 329, 93, 129, 356, 54, 129, 590, 566, 93, 54, 129, 590, 590, 590, 519, 93, 54, 128, 370, 93, 54, 130, 590, 590, 590, 590, 590, 590, 590, 590, 130, 590, 590, 590, 590, 590, 590, 590, 590, 110, 590, 590, 590, 590, 590, 590, 590, 590, 219, 590, 590, 590, 590, 590, 590, 590, 590, 184, 590, 590, 590, 590, 590, 590, 590, 590, 239, 590, 590, 590, 590, 590, 590, 590, 590, 252, 590, 590, 590, 590, 590, 590, 590, 590, 308, 590, 590, 590, 590, 590, 590, 590, 590, 172, 590, 590, 590, 590, 590, 590, 590, 590, 272, 590, 590, 590, 590, 590, 590, 590, 252, 54, 54, 54, 138, 54, 54, 54, 129, 590, 137, 93, 54, 54, 139, 54, 54, 126, 369, 93, 54, 54, 54]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0]",streaming_spotify.pcap
71,"('10.184.62.19', 61300, '35.186.224.24', 443, 'TCP')","1727357863.197306,1727357863.202660,1727357863.202841,1727357863.202841,1727357863.202841,1727357863.202841,1727357863.211855,1727357863.212268,1727357863.217745,1727357870.386677,1727357870.386757,1727357870.386802,1727357870.440744,1727357870.512771,1727357870.513794,1727357870.513794,1727357870.754078,1727357870.754634,1727357870.758284,1727357870.758365,1727357877.267171,1727357877.273402","[66, 54, 590, 590, 590, 171, 54, 118, 54, 146, 85, 572, 54, 93, 590, 357, 54, 54, 54, 93, 54, 54]","[0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1]",streaming_spotify.pcap
72,"('10.184.62.19', 60751, '10.10.1.5', 53, 'UDP')",1727357863.197668,[70],[0],streaming_spotify.pcap
